ah 모
aha 몸
ahf 몰
ahf 몽
ahr 목
ahrt 몫
ahs 몬
aht 못
ai 먀
aj 머
ajf 멀
ajr 먹
ajs 먼
ajt 멋
ak 마
aka 맘
akd 망
ake 맏
akf 말
akq 맙
akr 막
aks 만
aksg 많
akt 맛
akw 맞
akx 맡
al 미
alf 밀
alq 밉
alr 믹
als 민
alx 밑
am 므
amf 믈
ams 은
an 무
ane 묻
anf 물
ang 앙
anj 뭐
anr 묵
ans 문
ao 매
aod 맹
aoq 맵
aor 맥
aos 맨
ap 메
ap 앞
apf 멜
aps 멘
au 며
auc 몇
aud 명
auf 멸
aur 면
aus 면
ay 묘
b 유
bd 윤
bf 율
br 육
bs 윤
cb 츄
ch 초
chd 총
chkf 촬
chl 최
chr 촉
chs 촌
ci 챠
cj 처
cja 첨
cjd 청
cjf 철
cjq 첩
cjr 척
cjs 천
cjt 첫
ck 차
cka 참
ckd 창
ckf 찰
ckq 찹
ckr 착
cks 찬
cksg 찮
ckt 찾
ckw 찾
cl 치
cla 침
cld 칭
clf 칠
clq 칩
clr 칙
cls 친
clt 칫
cm 츠
cmd 층
cmf 츨
cmr 측
cmt 츳
cn 추
cna 춤
cnd 충
cnf 출
cnj 춰
cnl 취
cnq 춥
cnr 축
cns 춘
co 채
cor 책
cp 체
cpf 첼
cu 쳐
cutt 쳤
cy 쵸
eb 듀
eeb 뜌
eeh 또
eehc 꽃
eehd 똥
eei 땨
eej 떠
eejf 떨
eejg 떻
eejr 떡
eejs 떤
eek 따
eekd 땅
eekf 딸
eekr 딱
eeks 딴
eel 띠
eem 뜨
eema 뜸
eemt 뜻
een 뚜
eend 뚱
eenl 뛰
eenr 뚝
eeo 때
eeos 땐
eeu 뗘
eey 뚀
eh 도
ehd 동
ehe 돋
ehf 돌
ehft 돐
ehl 되
ehlq 됩
ehls 된
eho 돼
ehot 됐
ehr 독
ehs 돈
eht 돗
ei 댜
ej 더
ejd 덩
ejf 덜
ejfq 덟
ejq 덥
ejr 덕
ejs 던
ejv 덮
ek 다
eka 담
ekd 당
eke 닫
ekf 달
ekfa 닮
ekfr 닭
ekq 답
ekr 닥
ekrr 닦
eks 단
el 디
eld 딩
elr 딕
em 드
ema 듬
emd 등
eme 듣
emf 들
emfa 듦
emr 득
ems 든
emt 듯
en 두
ena 둠
end 둥
enf 둘
enl 뒤
enr 둑
ens 둔
eo 대
eoa 댐
eor 댁
eos 댄
eot 댓
ep 데
epa 뎀
epf 델
eps 덴
eu 뎌
ey 됴
fb 류
fbd 륭
fbf 률
fbr 륙
fh 로
fha 롬
fhd 롱
fhf 롤
fhl 뢰
fhq 롭
fhr 록
fhs 론
fi 랴
fid 량
fir 략
fj 러
fja 럼
fjd 렁
fjg 렇
fjq 럽
fjr 럭
fjs 런
fk 라
fka 람
fkd 랑
fke 랃
fkf 랄
fkg 랗
fkq 랍
fkr 락
fks 란
fl 리
fla 림
fld 링
flf 릴
flq 립
flr 릭
fls 린
flt 릿
fm 르
fma 름
fmd 릉
fmf 를
fmq 릅
fmr 륵
fms 른
fmt 릇
fmv 릎
fn 루
fna 룸
fns 륜
fo 래
foa 램
fos 랜
fos 랭
fp 레
fpp 례
fps 렌
fpt 렛
fu 려
fua 렴
fud 령
fuf 렬
fuq 렵
fur 력
fus 련
futt 렸
fvd 륭
fy 료
gb 휴
gbd 흉
ge 하다
gh 호
gha 홈
ghd 홍
ghf 홀
ghk 화
ghkd 황
ghkf 활
ghkr 확
ghks 환
ghl 회
ghld 횡
ghlr 획
ghr 혹
ghs 혼
gi 햐
gia 향
gid 향
gj 허
gja 험
gjd 헝
gjf 헐
gjs 헌
gk 하
gka 함
gkd 항
gke 핟
gkf 할
gkfx 핥
gkq 합
gkr 학
gks 한
gkt 핫
gl 히
gla 힘
glf 힐
glr 획
gls 힌
gm 흐
gma 흠
gmd 흥
gmfr 흙
gmks 흰
gml 희
gmls 흰
gmq 흡
gmr 흑
gms 흔
gn 후
gna 훔
gnf 훌
gnfx 훑
gnl 휘
gnp 훼
gnpf 웰
gns 훈
go 해
goa 햄
god 행
gos 핸
gott 했
gp 헤
gpp 혜
gpt 헷
gu 혀
gua 혐
gud 형
guf 혈
guq 협
gur 혁
gus 현
gy 효
h 오
hd 옹
hf 올
hfa 옮
hfg 옳
hk 와
hkd 왕
hks 완
hktt 왔
hl 외
hls 왼
ho 왜
hq 옵
hr 옥
hs 온
ht 옷
i 야
id 양
ifq 얇
ig 얗
ir 약
it 얏
j 어
ja 엄
jd 엉
jf 얼
jl 얼
jq 업
jqt 없
jr 억
js 언
jsw 얹
jt 엇
jtt 었
jz 엌
k 아
ka 암
kd 앙
kf 알
kq 압
kr 악
ks 안
ksg 않
kst 앉
ksw 앉
ktt 았
kv 앞
l 이
la 임
ld 잉
lf 일
lfr 읽
lq 입
lr 익
ls 인
ltt 있
lv 잎
m 으
ma 음
md 응
mf 을
mfv 읊
ml 의
mr 윽
ms 은
mt 웃
n 우
na 움
nd 웅
nf 울
nj 워
njd 웡
njf 월
njs 원
njtt 웠
nl 위
nlr 윗
np 웨
nr 욱
ns 운
o 애
od 앵
of 앨
oo 얘
or 액
p 에
pp 예
ppt 옛
ps 엔
qb 뷰
qh 보
qha 봄
qhd 봉
qhf 볼
qhk 봐
qhktt 봤
qhq 봅
qhr 복
qhrr 볶
qhs 본
qi 뱌
qj 버
qja 범
qjf 벌
qjq 법
qjs 번
qjw 벚
qk 바
qkd 방
qke 받
qkf 발
qkfr 밝
qkq 밥
qkr 박
qkrr 밖
qks 반
qkx 밭
ql 비
qla 빔
qlc 빛
qld 빙
qlf 빌
qlq 뵙
qls 빈
qlt 빗
qlw 빚
qm 브
qmf 블
qmt 붓
qn 부
qnd 붕
qnf 불
qnfa 붊
qnl 뷔
qnlq 뵙
qnr 북
qns 분
qnx 붙
qo 배
qoa 뱀
qor 백
qp 베
qpf 벨
qpr 벡
qqb 쀼
qqh 뽀
qqha 뽐
qqhd 뽕
qqi 뺘
qqj 뻐
qqk 빠
qqkd 빵
qqkf 빨
qql 삐
qqm 쁘
qqms 쁜
qqn 뿌
qqnf 뿔
qqnr 뿍
qqns 뿐
qqor 빽
qqu 뼈
qqy 뾰
qu 벼
qud 병
quf 별
quq 볍
qur 벽
qus 변
qut 볏
qy 뵤
rb 규
rbf 귤
rbs 균
rh 고
rhd 공
rhf 골
rhft 곬
rhk 과
rhkd 광
rhkf 괄
rhkr 곽
rhks 관
rhl 괴
rhl 굉
rho 괘
rhod 괭
rhos 괜
rhq 곱
rhr 곡
rhs 곤
rht 곳
ri 갸
rj 거
rja 검
rje 걷
rjf 걸
rjos 괜
rjq 겁
rjr 걱
rjs 건
rjt 것
rjv 겊
rk 가
rka 감
rkd 강
rke 갇
rkf 갈
rkq 갑
rkqt 값
rkr 각
rks 간
rktt 갔
rkv 갚
rkw 갖
rkx 같
rl 기
rla 김
rld 깅
rlf 길
rls 긴
rlt 깃
rlv 깊
rm 그
rma 금
rmd 긍
rmf 글
rmq 급
rmr 극
rms 근
rn 구
rnd 궁
rnf 굴
rnfa 굶
rnfr 굵
rnjf 궐
rnjs 권
rnl 귀
rnp 궤
rnq 굽
rnr 국
rns 군
ro 개
rod 갱
roo 걔
ror 객
rp 게
rpf 결
rpp 계
rptt 겠
rrb 뀨
rrh 꼬
rrhc 꽃
rrhd 꽁
rrhe 꼳
rrhf 꼴
rrhk 꽈
rrhl 꾀
rrhr 꼭
rrhw 꽂
rri 꺄
rrj 꺼
rrja 껌
rrjr 꺽
rrk 까
rrkf 깔
rrkq 깝
rrkr 깍
rrkrr 깎
rrks 깐
rrl 끼
rrm 끄
rrma 끔
rrmf 끌
rrmfg 끓
rrms 끈
rrmsg 끊
rrmt 끗
rrmx 끝
rrn 꾸
rrnls 뀐
rro 깨
rrp 께
rru 껴
rry 꾜
ru 겨
rud 경
ruf 결
rur 격
rus 견
rux 곁
ry 교
sb 뉴
se 니다
sh 노
shd 농
shf 놀
shg 놓
shl 뇌
shr 녹
shs 논
shv 높
si 냐
sid 냥
sj 너
sja 넘
sjdq 넓
sjf 널
sjfq 넓
sjg 넣
sjr 넉
sjrt 넋
sk 나
ska 남
skc 낯
skd 낭
ske 낟
skf 날
skq 납
skr 낙
sks 난
skt 낫
sktt 났
skw 낮
skx 낱 
sl 니
sla 님
sm 느
smd 능
smf 늘
smfr 늙
sms 는
smw 늦
sn 누
snf 눌
sns 눈
snv 눞
so 내
soa 냄
sod 냉
sof 낼
sos 낸
sott 냈
sp 네
spr 넥
spt 넷
sr 니까
su 녀
sua 념
sud 녕
sur 녁
sus 년
suz 녘
sy 뇨
tb 슈
te 시다
th 소
thd 송
thf 솔
thk 솨
thkf 솰
thl 쇠
tho 쇄
thr 속
ths 손
thx 솥
ti 샤
tia 샴
tj 서
tja 섬
tjd 성
tjf 설
tjq 섭
tjr 석
tjs 선
tjt 섯
tk 사
tka 삼
tkd 상
tkf 살
tkfa 삶
tkfr 삵
tkq 삽
tkr 삭
tkrt 삯
tks 산
tktt 샀
tl 시
tla 심
tld 싱
tlf 실
tlfg 싫
tlq 십
tlr 식
tls 신
tm 스
tma 슴
tmd 승
tmf 슬
tmq 습
tms 슨
tmt 숫
tn 수
tnd 숭
tne 숟
tnf 술
tnl 쉬
tnlq 쉽
tnpf 쉘
tnr 숙
tns 순
tnv 숲
to 새
toa 샘
tod 생
tof 샐
tor 색
tos 샌
tp 세
tps 센
ttb 쓔
tth 쏘
tti 쌰
ttj 써
ttjq 썹
ttjtt 썼
ttk 싸
ttkd 쌍
ttkf 쌀
ttkg 쌓
ttkr 싹
ttl 씨
ttla 씸
ttls 씬
ttlt 씻
ttm 쓰
ttma 씀
ttms 쓴
ttn 쑤
ttu 쎠
tty 쑈
tu 셔
tus 션
tutt 셨
ty 쇼
u 여
ua 염
ud 영
uf 열
uq 엽
ur 역
us 연
utt 였
uv 옆
vb 퓨
vh 포
vhd 퐁
vhf 폴
vhr 폭
vhs 폰
vi 퍄
vj 퍼
vk 파
vkf 팔
vkq 팝
vks 판
vkx 팥
vl 피
vla 핌
vld 핑
vlf 필
vlr 픽
vm 프
vmf 플
vn 푸
vna 품
vnd 풍
vnf 풀
vo 패
vod 팽
vor 팩
vos 팬
vp 페
vpp 폐
vps 펜
vpt 펫
vu 펴
vua 폄
vud 평
vus 편
vy 표
wb 쥬
wh 조
wha 좀
whd 종
whf 졸
whg 좋
whk 좌
whl 죄
whr 족
whs 존
wi 쟈
wj 저
wja 점
wjd 정
wjf 절
wjfa 젊
wjq 접
wjr 적
wjs 전
wjt 젓
wk 자
wka 잠
wkd 장
wkf 잘
wkq 잡
wkr 작
wks 잔
wksg 잖
wl 지
wla 짐
wld 징
wlf 질
wlq 집
wlr 직
wls 진
wlt 짓
wlv 짚
wlw 짖
wm 즈
wmd 증
wmf 즐
wmr 즉
wn 주
wnd 중
wnf 줄
wnj 줘
wnl 쥐
wnq 줍
wnr 죽
wns 준
wo 재
wod 쟁
woo 쟤
wos 잰
wp 제
wpf 젤
wps 젠
wu 져
wutt 졌
wwb 쮸
wwh 쪼
wwhr 쪽
wwi 쨔
wwj 쩌
wwjr 쩍
wwk 짜
wwkf 짤
wwkfq 짧
wwkr 짝
wwks 짠
wwl 찌
wwlf 찔
wwlq 찝
wwlr 찍
wwm 쯔
wwma 쯤
wwmr 쪽
wwn 쭈
wwnq 쭙
wwo 째
wwot 쨋
wwu 쪄
wwy 쬬
wy 죠
xb 튜
xbf 튤
xh 토
xhd 통
xhl 퇴
xhq 톱
xhs 톤
xi 탸
xj 터
xja 텀
xjd 텅
xjf 털
xjq 텁
xjs 턴
xk 타
xka 탐
xkd 탕
xkf 탈
xkq 탑
xkr 탁
xks 탄
xl 티
xla 팀
xld 팅
xlr 틱
xm 트
xmf 틀
xmr 특
xms 튼
xn 투
xnd 퉁
xnl 튀
xnlf 튈
xo 태
xod 탱
xof 탤
xoq 탭 
xor 택
xp 테
xpf 텔
xpr 텍
xps 덴
xu 텨
xy 툐
y 요
yd 용
yr 욕
zb 큐
zh 코
zha 콤
zhd 콩
zhf 콜
zho 쾌
zhs 콘
zi 캬
zj 커
zja 컴
zjf 컬
zjq 컵
zjs 컨
zjt 컷
zk 카
zkf 칼
zkr 칵
zks 칸
zl 키
zlf 킬
zm 크
zma 큼
zmf 클
zms 큰
zn 쿠
znjs 퀀
zoa 캠
zod 캥
zp 케
zpt 켓
zu 켜
zy 쿄
