a 一
aa 一下
aaamo 万无一失
aaavs 可歌可泣
aaaxd 天下无难事
aacfj 百无聊赖
aacmj 无可奉告
aadjj 无可挽回
aadte 殊死搏斗
aaeug 平型关
aaezz 一开始
aafkl 可可西里山
aafyw 百无禁忌
aagag 一天天
aagkc 无可厚非
aagll 平顶山
aagna 无可奈何
aagnm 无恶不作
aahkr 一天到晚
aai 亍
aaidj 天下事
aaimz 副政委
aaiya 一下子
aajjn 一再嘱咐
aakoa 死于非命
aakri 一无是处
aakss 无可非议
aalrm 无可置疑
aanlv 无副作用
aanoy 一百分
aanrr 无与伦比
aanuf 一百米
aapeq 一无所获
aapgq 一无所有
aapmj 一无所知
aardz 无可比拟
aarry 形形色色
aarss 无可争辩
aasxo 无可辩驳
aatsm 无形资产
aatss 无政府主义
aattg 无政府状态
aattr 干干净净
aauuf 万平米
aavgf 万万没有想到
aavik 下一步
aavnh 下一代
aavov 下一个
aavtr 再一次
aavvu 万丈深渊
aawoz 百万富翁
aawvg 万恶之源
aaxbv 开天辟地
aaync 下一阶段
ab 一起
abasj 无动于衷
abbcw 平均增长速度
abbtr 平均工资
abbyr 天塌地陷
abcoa 平均寿命
abdfb 平均指标
abduo 丁二烯
abdzy 一二级
abghx 无巧不成书
abgmw 一去不复返
abisv 开工率
abjfr 吞云吐雾
abkau 平均水平
abksk 平均日产量
abkug 一夫当关
ablwz 开工典礼
abmfr 与去年相比
abmle 与去年同期相比
abmmb 平均每年增长
abmvk 平均气温
abmvt 平均利润
abnmy 一鼓作气
abnwo 无地自容
abonr 正规化
abooe 歌功颂德
abpwx 无功受禄
abren 无功负荷
abrne 平均值
abrso 一元论
abruz 平均数
abrzq 一专多能
absmj 一元方程
absml 无土育秧
absso 平均主义
abuvo 一塌糊涂
abuwm 画地为牢
abvbk 死去活来
abwtv 平均速度
abxrd 一块儿
abydp 副教授
abzfq 歼击机
abziv 万元以上
abzod 平均收入
ac 平静
acaby 可耻下场
acakm 天王星
acanl 无毒副作用
acbmm 开玩笑
acbrs 天长地久
acdch 副理事长
acdll 万寿山
acgwo 天理不容
achdv 更长的
acrae 正三角形
acrfh 列表框
acsmj 无理方程
acuod 一班人
acvtv 干球温度
ad 于
adafj 无拘无束
adaga 再接再厉
adahv 一事无成
adatx 万事开头难
adbze 可持续
adcnm 刑事责任
adeal 亚的斯亚贝巴
adeuk 下拉菜单
adgbj 万事大吉
adgbm 开拓者
adgcz 干扰素
adgdh 百折不挠
adggg 百挑不厌
adgiv 一拥而上
adgsj 一挥而就
adkne 可提供
adkv 于是
adkya 一揽子
adl 盂
adlk 盂
adlz 盂县
admkc 无事生非
admo 㪀
adni 𨾌
adnrk 万事俱备
adnsk 万事顺意
adosf 开拓创新
adpma 可拆卸
adqew 亚热带
adqks 正投影
adqlk 刑事犯罪
adqmd 一投手
adsgx 一捅就破
adsma 无的放矢
adssv 刑事诉讼法
adsvk 可撤消
aduwk 开拓精神
advnl 可撤消信用证
advv 于
adw 迂
adwch 一技之长
adwgb 可控硅
adxoa 一拍即合
ady 邘
adyd 𠃗
adymd 一把手
adznr 可持续化
adzsk 万事如意
adzxe 形势发展
adzzx 可持续发展 可持续发展战略
ae 开
aeae 𢏘 𪚟
aeahy 天真无邪
aeal 𧷩
aear 干裂
aearx 与世无争
aeb 型
aebb 开封
aebbe 瓦莱塔
aebh 开城
aebi 开工 开赴
aebk 开来
aebm 开埠
aebn 𪪖
aebtr 天南地北
aebu 䵤
aebx 形声
aebxb 下基层
aeby 刑场
aebz 开动
aecb 𪫡
aeccq 万古长青
aecd 开球
aecms 与世长辞
aeco 开春
aed 干
aedch 副董事长
aedg 干扰 开拓
aedj 刑事 干事
aedq 形势
aedx 开据
aeeb 𤮻
aeeh 刊载
aeek 开幕
aeen 开花
aeeq 刑期
aeer 干警 𪂍
aees 䶬 开荒
aeet 麉
aeex 开支 𢻗 𨴚
aeey 𢏗
aefb 开票
aefe 干枯
aeff 开禁
aefg 干杯 𩔛
aefj 𢆚
aefo 开枪
aefp 型板
aefq 开机
aefr 干酪 𪄃
aefs 干校
aeg 顸
aegkq 下落不明
aegn 开原
aego 頇 顸
aegq 𧰪
aegs 形态
aegx 形码
aehae 百花盛开
aehb 形式
aehe 开车
aehv 形成
aeiba 武警战士
aeig 𩒞
aeij 开战
aeiw 𢤏
aeja 刊号 型号 开口
aejld 死胡同
aejq 𫈉
aejr 开路
aejs 干咳
aejx 干吗
aejy 𨚆
aek 刊
aeka 干旱
aekb 型
aekd 刊 刑
aekf 干果
aekgd 百慕大
aekhb 开幕式
aekl 开敞
aekms 开幕辞
aekq 开明
aeksy 开幕词
aeku 开业 开凿
aekv 开水
aeld 𧦸
aelgv 一直在
aelk 㿻 㿼
aelo 开具
aelr 䙹 开罗
aels 刑罚
aelwz 开幕典礼
aelz 开县
aemao 一落千丈
aemjl 政协委员
aemnr 豆蔻年华
aemo 攼
aemr 刊物
aemyo 天花乱坠
aemz 干系
aeneq 开花期
aenf 形体
aenfp 天花板
aeng 𩔓
aeni 䧲 雃
aenkf 无花果
aenml 万花筒
aeno 开价
aenr 开化
aentr 百花奖
aenuo 天花粉
aenx 𥀈
aeoae 无期徒刑
aeob 开会
aeojm 政协全国委员会
aeoo 𦦕
aeop 开饭
aeor 干馏
aeos 开往
aeox 刑律
aeoy 开创
aeoz 𡂤
aep 形
aepb 𡌑
aepd 形 𣂖
aepf 开采
aepi 开钻
aepk 开销
aepl 型钢 开盘 𫍚
aept 开镰
aeqr 干脆
aequ 开脱
aercr 百花争艳
aerj 形象
aero 㰢
aerz 鳱 鳽 𫜠
aesbx 列支敦士登
aesi 𪚒
aesj 干部
aesk 开课
aesl 开端
aesm 开放
aesq 开设
aessm 百花齐放
aesu 形旁
aeswr 一劳永逸
aesx 开朗 形变
aesy 刑讯 开方
aesyo 武警部队
aesz 𥪵
aetg 开头 形状
aetk 干冰
aetl 开门
aetn 干瘦 干瘪
aetr 干净
aetv 开阔
aety 开庭
aeug 开关
aeuh 干烧
aeuj 干燥
aeuk 开单
aeul 覝
aeuo 㶣 干粉 开火 烎
aeur 开炮
aeus 干粮
aeuvk 天真烂漫
aeuw 开炉
aeux 𫈌
aeuy 开卷
aevb 刑法
aeve 开满
aeves 万古流芳
aevg 开源
aevh 干渠
aevi 干涉
aevj 干涸
aevk 干渴
aevm 干活
aevs 干流
aevtr 天南海北
aevv 开
aevvz 天真活泼
aevw 开学
aew 迀
aewb 开窍 开远
aewe 开赛
aewj 开启
aewm 开户
aewmy 哥斯达黎加
aewo 形容
aews 形迹
aewu 开道
aewx 开通
aewz 开心
aexa 刊登
aexb 干劲 开垦
aexe 开展
aexi 𤿊 𤿐 𦦘
aexj 干群 开辟
aexx 干预
aexy 开局
aey 邗 邢
aeyc 开张
aeyd 开刀 开导
aeyej 哥萨克
aeyk 开阳
aeyo 开办 开除
aeys 㼛
aeyy 䍾 𦑪
aeyzr 与世隔绝
aezh 干线 干练 开练
aezi 𠙻
aezj 邢台
aezo 𡂤
aezv 开发
aezwy 下世纪初
aezz 开始
af 末
afamk 一本万利
afazx 一本正经
afbbv 平整土地
afbuz 瓦杜兹
afbzy 干酵母
afdml 严格控制
afeek 夏枯草
afeq 末期
afey 末节
affdv 严格要求
affeq 无霜期
affk 末梢
afgmj 可想而知
afgo 𩑷
afgso 一概而论
